id_unico,año,fuente,disciplina,forma,numero_en_fuente,es_piloto,pagina_pdf,enunciado_pregunta,tiene_imagen_enunciado,imagen_enunciado,imagen_pregunta_completa,alternativa_a_texto,alternativa_a_imagen,alternativa_b_texto,alternativa_b_imagen,alternativa_c_texto,alternativa_c_imagen,alternativa_d_texto,alternativa_d_imagen,alternativa_correcta
PAES_2024_M1_Q01,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,1,False,3,¿Cuál es el resultado de 3- (-1)(-1- 5)?,False,,assets/images/2024/PAES_2024_M1_Q01_completa.png,-1,,-3,,-12,,-24,,B
PAES_2024_M1_Q02,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,2,False,3,"Un diario tiene una colilla recortable para un concurso, la que se presenta a continuación: CUADRADO MÁGICO Manda el resultado correcto de 1 ♥ ♪ ♥ + ☻ + ♪ 3 2 a la casilla postal de este diario para entrar al 3 ☻ concurso de una bicicleta 1 Resultado Cada fila, cada columna y cada diagonal Nombre deben contener los números 1, 2, 3 y 4 sin que se repitan. Número contacto ¿Cuál es el resultado que permite entrar al concurso?",True,assets/images/2024/PAES_2024_M1_Q02_enunciado.png,assets/images/2024/PAES_2024_M1_Q02_completa.png,6,,7,,8,,9,,C
PAES_2024_M1_Q03,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,3,False,4,"Si al quíntuplo de -10 se le resta el triple de -12, ¿qué número se obtiene?",False,,assets/images/2024/PAES_2024_M1_Q03_completa.png,-86,,-14,,2,,34,,B
PAES_2024_M1_Q04,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,4,False,4,¿En cuál de las siguientes opciones se representa la frase “el doble de la tercera parte de la diferencia entre 8 y 6”? 1,False,,assets/images/2024/PAES_2024_M1_Q04_completa.png,2 · ·8 - 6 3 1,,2 · 1 · (8 - 6) 3,,2·3·8 - 6,,2·3·(8 - 6),,B
PAES_2024_M1_Q05,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,5,False,5,En la siguiente tabla se presentan las fechas de algunos hechos históricos: Hecho histórico Año Construcción de la Gran Pirámide de Guiza 2570 a.C. Nacimiento de Cleopatra 69 a.C. ¿Cuántos años pasaron desde el año de la construcción de la Gran Pirámide de Guiza hasta el año del nacimiento de Cleopatra?,True,assets/images/2024/PAES_2024_M1_Q05_enunciado.png,assets/images/2024/PAES_2024_M1_Q05_completa.png,2640,,2639,,2501,,2499,,C
PAES_2024_M1_Q06,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,6,False,6,"Un juego consiste en lanzar un dardo a un tablero como el de la figura adjunta. C B A Se obtienen 10 puntos si el dardo cae en el sector A, 5 puntos si cae en el sector B y ningún punto si cae en el sector C. En la tabla adjunta se presenta la cantidad de aciertos en cada sector de tres tiradores en los 10 lanzamientos que cada uno realizó. Sectores A B C Pedro 4 2 4 Sandra 3 5 2 Roberta 2 8 0 ¿Cuál tirador obtuvo el mayor puntaje y cuál obtuvo el menor puntaje, respectivamente?",True,assets/images/2024/PAES_2024_M1_Q06_enunciado.png,assets/images/2024/PAES_2024_M1_Q06_completa.png,Roberta y Sandra,,Roberta y Pedro,,Sandra y Roberta,,Pedro y Sandra,,B
PAES_2024_M1_Q07,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,7,False,7,"Una persona realiza un viaje al exterior y lleva consigo su tarjeta de débito, la que funciona fuera del país. En su tarjeta tiene un saldo inicial de $300000 y decide hacer algunas actividades turísticas, por lo que realizó los siguientes movimientos en su tarjeta: · Un pago de $15000 para pagar la entrada a una obra de teatro. · Un pago de $35000 para pagar el ingreso al parque de diversiones y algo de comida dentro del parque. Si por cada pago que realiza con su tarjeta el banco le cobra una comisión de $2000 independientemente del monto, ¿cuál es su saldo final luego de realizados los pagos de ese día?",False,,assets/images/2024/PAES_2024_M1_Q07_completa.png,$254000,,$244000,,$248000,,$246000,,D
PAES_2024_M1_Q08,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,8,False,8,"Un colegio de enseñanza media tiene 180 estudiantes en total y un sexto de ellos pertenece al segundo medio B. El día en que el segundo medio B realizó la elección de su directiva, faltó la décima parte de los estudiantes de dicho curso. Quienes asistieron votaron entre Fernando y Josefina para la presidencia. 1 Si de los estudiantes votaron por Josefina y no hubo votos nulos ni blancos, 3 ¿cuántos estudiantes votaron por Fernando?",False,,assets/images/2024/PAES_2024_M1_Q08_completa.png,20,,18,,2,,1,,B
PAES_2024_M1_Q09,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,9,False,9,"En la figura se presenta un cartel con los precios de las impresiones en blanco y negro de un centro de impresión. Un curso de Química Orgánica requiere de un libro de tres capítulos de 150, 130 y 85 hojas, en ese orden. Una persona imprimió primero solo el primer capítulo, luego solo el segundo y por último solo el tercero, a medida que avanzaba en el curso. ¿Cuánto dinero gastó la persona en imprimir el libro?",True,assets/images/2024/PAES_2024_M1_Q09_enunciado.png,assets/images/2024/PAES_2024_M1_Q09_completa.png,$7300,,$8150,,$8800,,$9450,,C
PAES_2024_M1_Q10,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,10,False,10,"Considera la siguiente secuencia de figuras, formadas por cuadrados y triángulos, que se va formando con palitos de fósforo. ¿Cuál es la cantidad de palitos que se utilizan en la figura 25?",True,assets/images/2024/PAES_2024_M1_Q10_enunciado.png,assets/images/2024/PAES_2024_M1_Q10_completa.png,7·25,,5·25 + 2,,3·25 + 4,,2·25,,B
